price,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,yr_built,yr_renovated,zipcode,lat,long,nearest_station_distance_km,bathroom_category,density,commute_time,distance_to_point_km,is_near_shore,grade_living,bedrooms_cat,lot_size_category,grade_living_category,outliers_ecod,cluster_all_data,cluster_no_outlier
221900.0,3,1.0,8.639587799629844,1.0,0,0,3,1955,0,98178,47.5112,-122.257,8620.002287411395,Studio or 1 Bathroom,5364.0,32.9,0.5957631279369822,False,9.019300924562506,3-4,0,0,0,2,2.0
538000.0,3,2.25,8.887790764195326,2.0,0,0,3,1951,1991,98125,47.721,-122.319,2078.181042048624,2-3 Bathrooms,7999.0,28.9,3.038595600521312,False,9.79762691183662,3-4,1,2,0,0,0.0
180000.0,2,1.0,9.210440366976517,1.0,0,0,3,1933,0,98028,47.7379,-122.233,8109.552186239611,Studio or 1 Bathroom,3833.0,33.1,2.3176693333392127,False,8.438366410870266,<3,2,0,0,2,0.0
604000.0,4,3.0,8.517393171418904,1.0,0,0,5,1965,0,98136,47.5208,-122.393,8918.31863879774,2-3 Bathrooms,7517.0,30.6,0.1016676616321493,True,9.526682784921174,3-4,0,1,0,0,1.0
510000.0,3,2.0,8.997270906233448,1.0,0,0,3,1987,0,98074,47.6168,-122.045,19789.80040063432,1-2 Bathrooms,2896.0,32.7,1.750655938264267,False,9.506065016071148,3-4,1,1,0,0,0.0
1225000.0,4,4.5,11.532051392768706,1.0,0,0,3,2001,0,98053,47.6561,-122.005,22454.048888924182,+3 Bathrooms,827.0,32.5,5.628604101051111,False,10.995763139986401,3-4,2,2,0,0,0.0
257500.0,3,2.25,8.827614750837508,2.0,0,0,3,1995,0,98003,47.3097,-122.327,29990.522231697392,2-3 Bathrooms,4392.0,32.4,3.594630905042143,False,9.393161803811788,3-4,1,1,0,0,0.0
291850.0,3,1.5,9.181117513299279,1.0,0,0,3,1963,0,98198,47.4095,-122.315,18874.71223068568,1-2 Bathrooms,5039.0,30.1,1.3082050506364808,False,8.912069097970134,3-4,2,0,0,0,0.0
229500.0,3,1.0,8.918784137975802,1.0,0,0,3,1960,0,98146,47.5123,-122.337,7680.708951444539,Studio or 1 Bathroom,6034.0,29.8,3.3909216082983,False,9.430359045942868,3-4,1,1,0,2,2.0
323000.0,3,2.5,8.788898309344878,2.0,0,0,3,2003,0,98038,47.3684,-122.031,31587.886351768764,2-3 Bathrooms,572.0,38.8,3.0083871519813146,False,9.490317840042412,3-4,1,1,0,0,0.0
662500.0,3,2.5,9.189831495344642,1.0,0,0,3,1965,0,98007,47.6007,-122.145,12774.9869045593,2-3 Bathrooms,6617.0,22.7,2.542573792207075,False,10.256992477269039,3-4,2,2,0,0,0.0
468000.0,2,1.0,8.699681400989514,1.0,0,0,4,1942,0,98115,47.69,-122.292,2289.121864314304,Studio or 1 Bathroom,8197.0,26.8,1.6314243850794992,False,9.002208578282412,<3,0,0,1,1,-1.0
310000.0,3,1.0,9.898575508175107,1.5,0,0,4,1927,0,98028,47.7558,-122.229,9453.309329793388,Studio or 1 Bathroom,3833.0,33.1,1.917774225495218,False,9.211439767419483,3-4,2,0,0,2,2.0
400000.0,3,1.75,9.177920480720072,1.0,0,0,4,1977,0,98074,47.6127,-122.045,19880.23840944816,1-2 Bathrooms,2896.0,32.7,1.811252097954496,False,9.16858043772795,3-4,2,0,0,0,0.0
530000.0,5,2.0,8.486940148245216,1.5,0,0,3,1900,0,98107,47.67,-122.394,5904.901945719374,1-2 Bathrooms,12484.0,30.0,0.2750769393588803,True,9.447071196798909,>4,0,1,1,1,-1.0
650000.0,4,3.0,8.517393171418904,2.0,0,3,3,1979,0,98126,47.5714,-122.375,4246.51268290662,2-3 Bathrooms,7113.0,30.5,1.3563763001588092,False,10.186822690744211,3-4,0,2,0,0,0.0
395000.0,3,2.0,9.549736900114642,2.0,0,0,3,1994,0,98019,47.7277,-121.962,27076.78308766492,1-2 Bathrooms,317.0,35.1,13.23373544118612,False,9.490317840042412,3-4,2,1,0,0,0.0
485000.0,4,1.0,8.366602832783736,1.5,0,0,4,1916,0,98103,47.6648,-122.343,2209.4567039268613,Studio or 1 Bathroom,11391.0,27.1,0.7619388005459727,False,9.32375833901174,3-4,0,0,0,2,2.0
189000.0,2,1.0,9.19532825185568,1.0,0,0,4,1921,0,98002,47.3089,-122.21,31024.04456443988,Studio or 1 Bathroom,5015.0,29.5,7.189420172568547,False,9.036106025364846,<3,2,0,0,2,0.0
230000.0,3,1.0,9.187583384853566,1.0,0,0,4,1969,0,98003,47.3343,-122.306,27237.41039915039,Studio or 1 Bathroom,4392.0,32.4,2.11532318396142,False,9.076923258535832,3-4,2,0,0,2,2.0
385000.0,4,1.75,8.513385953073284,1.0,0,0,4,1947,0,98133,47.7025,-122.341,948.965027860306,1-2 Bathrooms,7038.0,30.4,1.974705286014649,False,9.33617975681533,3-4,0,0,0,0,0.0
2000000.0,3,2.75,10.711480124765114,1.0,0,4,3,1968,0,98040,47.5316,-122.233,7956.150022912061,2-3 Bathrooms,3997.0,26.9,0.3560400835196636,True,10.22015787614662,3-4,2,2,0,0,1.0
285000.0,5,2.5,8.748463629942055,2.0,0,0,3,1995,0,98092,47.3266,-122.169,30084.97742129913,2-3 Bathrooms,1185.0,34.2,3.877030886974704,False,9.807031716718498,>4,1,2,0,0,1.0
252700.0,2,1.5,9.174091239301061,1.0,0,0,3,1985,0,98030,47.3533,-122.166,27422.908825488943,1-2 Bathrooms,5499.0,30.7,1.2403299081140675,False,8.921457578947884,<3,2,0,0,0,1.0
329000.0,3,2.25,8.77971129020447,2.0,0,0,4,1985,0,98030,47.3739,-122.172,25147.648268006407,2-3 Bathrooms,5499.0,30.7,0.8559800020632852,False,9.883335864325275,3-4,1,2,0,0,0.0
233000.0,3,2.0,8.454892165218858,1.5,0,0,5,1941,0,98002,47.3048,-122.218,31324.078121164566,1-2 Bathrooms,5015.0,29.5,7.9062397521449395,False,9.236105579862208,3-4,0,0,0,0,0.0
937000.0,3,1.75,7.898039690764619,2.0,0,0,3,1915,0,98119,47.6386,-122.36,3443.154427011736,1-2 Bathrooms,10846.0,25.5,1.270271892315013,False,9.883335864325275,3-4,0,2,0,0,0.0
667000.0,3,1.0,7.366445148327599,1.5,0,0,5,1909,0,98112,47.6221,-122.314,559.0502100517712,Studio or 1 Bathroom,7621.0,25.4,1.4616636075439724,False,9.32375833901174,3-4,0,0,0,2,2.0
438000.0,3,1.75,8.761080103868347,1.0,0,0,3,1948,0,98115,47.695,-122.304,1982.9546429825093,1-2 Bathrooms,8197.0,26.8,2.3901455201788053,False,9.272469743441732,3-4,1,0,0,0,0.0
719000.0,4,2.5,8.878218658092228,2.0,0,0,3,2005,0,98052,47.7073,-122.11,15813.71184166537,2-3 Bathrooms,3741.0,25.0,5.825034226640346,False,9.931151356518601,3-4,1,2,0,0,0.0
580500.0,3,2.5,8.289288323000317,2.0,0,0,3,2003,0,98027,47.5391,-122.07,18741.706200902525,2-3 Bathrooms,487.0,29.3,1.8374370075435964,False,9.828817884199099,3-4,0,2,0,0,0.0
280000.0,2,1.5,7.143617602704121,3.0,0,0,3,2005,0,98133,47.7274,-122.357,3435.623784742731,1-2 Bathrooms,7038.0,30.4,1.226324452796188,False,9.027738775974909,<3,0,0,0,0,1.0
687500.0,4,1.75,8.517393171418904,1.5,0,0,4,1929,0,98117,47.6823,-122.368,3724.337790933515,1-2 Bathrooms,9392.0,30.0,2.431181254955773,False,9.69959500581403,3-4,0,1,0,0,0.0
535000.0,3,1.0,8.006700845440367,1.5,0,0,4,1929,0,98117,47.6889,-122.375,3815.762200043457,Studio or 1 Bathroom,9392.0,30.0,1.942659959235988,False,9.073489189226986,3-4,0,0,0,2,2.0
322500.0,4,2.75,8.803874763534434,1.0,0,0,3,1981,0,98058,47.4276,-122.157,20503.906928227127,2-3 Bathrooms,2252.0,34.9,2.078055366656776,False,9.57644075656207,3-4,1,1,0,0,0.0
696000.0,3,2.5,8.026496938945412,1.5,0,0,3,1930,2002,98115,47.6827,-122.31,753.9704241406612,2-3 Bathrooms,8197.0,26.8,1.4308772518859998,False,9.820160289946374,3-4,0,2,0,0,0.0
550000.0,4,1.0,10.458779721372386,1.0,0,0,1,1933,0,98052,47.6621,-122.132,12973.438975052974,Studio or 1 Bathroom,3741.0,25.0,2.0669501373181824,False,9.024131268455035,3-4,2,0,0,2,2.0
640000.0,4,2.0,8.699681400989514,2.0,0,0,4,1904,0,98107,47.6702,-122.362,3523.308314785452,1-2 Bathrooms,12484.0,30.0,1.333641325759165,False,9.845911404398532,3-4,0,2,0,0,0.0
240000.0,4,1.0,8.996651979432729,1.0,0,0,2,1969,0,98001,47.3341,-122.282,27348.91418738276,Studio or 1 Bathroom,1895.0,31.6,3.5998004257826524,False,9.052633375946147,3-4,1,0,0,2,2.0
605000.0,4,2.5,8.929832503272403,2.0,0,0,3,1996,0,98056,47.5301,-122.18,11329.76371024872,2-3 Bathrooms,4879.0,29.6,1.4773717226251009,False,9.950418847220561,3-4,1,2,0,0,0.0
625000.0,4,2.5,8.616314282284044,2.0,0,0,3,2000,0,98074,47.6145,-122.027,21166.95190484881,2-3 Bathrooms,2896.0,32.7,3.115105996448785,False,10.0489289881863,3-4,0,2,0,0,0.0
775000.0,4,2.25,10.093570577723847,1.0,0,0,3,1984,0,98166,47.445,-122.347,15159.227412603392,2-3 Bathrooms,3913.0,28.5,0.6907376084810051,False,10.427061569124286,3-4,2,2,0,0,0.0
861990.0,5,2.75,8.637639344492104,2.0,0,0,3,2014,0,98053,47.6848,-122.016,21957.553349768616,2-3 Bathrooms,827.0,32.5,6.976649752113351,False,10.384554754137843,>4,0,2,0,0,1.0
685000.0,3,1.0,7.732369222284388,2.0,0,0,3,1922,0,98119,47.6413,-122.364,3855.6425289211866,Studio or 1 Bathroom,10846.0,25.5,1.2354140529104305,False,9.3048320350689,3-4,0,0,0,2,2.0
309000.0,3,1.0,9.175438319966918,1.0,0,0,4,1959,0,98058,47.4485,-122.175,17821.49100012876,Studio or 1 Bathroom,2252.0,34.9,3.73039900879988,False,8.946505025998682,3-4,2,0,0,2,2.0
488000.0,3,2.5,9.518119146127086,2.0,0,0,3,2003,0,98019,47.7443,-121.977,26502.252703285056,2-3 Bathrooms,317.0,35.1,14.08165421130928,False,10.137808404440463,3-4,2,2,0,0,0.0
210490.0,3,1.0,9.05122740031911,1.0,0,0,3,1966,0,98023,47.3066,-122.371,30639.841393349303,Studio or 1 Bathroom,5049.0,34.9,2.336389587888348,False,8.689632748355741,3-4,1,0,0,2,2.0
785000.0,4,2.5,9.504277838590472,2.0,0,0,4,1981,0,98007,47.6194,-122.151,11968.0545593283,2-3 Bathrooms,6617.0,22.7,3.3119988036776142,False,9.933580192843298,3-4,2,2,0,0,0.0
450000.0,3,1.75,8.69349667588463,1.0,0,0,4,1953,0,98115,47.6796,-122.301,1149.217270217336,1-2 Bathrooms,8197.0,26.8,2.7405449808038385,False,9.076923258535832,3-4,0,0,0,0,0.0
1350000.0,3,2.5,11.08223485230999,1.0,1,2,5,1953,0,98070,47.4041,-122.451,22116.77945342861,2-3 Bathrooms,295.0,36.8,0.0543252137990126,True,10.117711441675684,3-4,2,2,1,1,-1.0
228000.0,3,1.0,9.126958763037132,1.0,0,0,3,1955,0,98148,47.4258,-122.322,17078.10230547593,Studio or 1 Bathroom,4084.0,26.3,2.168081861386957,False,9.027738775974909,3-4,1,0,0,2,2.0
