id,price,bedrooms,bathrooms,sqft_lot_normalized,floors,waterfront,view,condition,yr_built,yr_renovated,zipcode,lat,long,nearest_station_distance_km,density,commute_time,distance_to_point_km,grade_living_normalized,lot_size_category,grade_living_category,outliers_ecod,cluster_no_outlier,sqft_lot,grade_living,is_near_shore_encoded,bedrooms_cat_<3,bedrooms_cat_>4,bed-3,bed-4
0,221900.0,3,1.0,8.639587799629844,1.0,0,0,3,1955,0,98178,47.5112,-122.257,8620.002287411395,5364.0,32.9,0.5957631279369822,9.019300924562506,0,0,0,1.0,5650,8260,0,0.0,0.0,0.0,0.0
2,180000.0,2,1.0,9.210440366976515,1.0,0,0,3,1933,0,98028,47.7379,-122.233,8109.552186239611,3833.0,33.1,2.3176693333392127,8.438366410870266,2,0,0,1.0,10000,4620,0,1.0,0.0,1.0,0.0
8,229500.0,3,1.0,8.918784137975802,1.0,0,0,3,1960,0,98146,47.5123,-122.337,7680.708951444539,6034.0,29.8,3.3909216082983,9.430359045942868,1,1,0,1.0,7470,12460,0,0.0,0.0,0.0,0.0
11,468000.0,2,1.0,8.699681400989514,1.0,0,0,4,1942,0,98115,47.69,-122.292,2289.121864314304,8197.0,26.8,1.6314243850794992,9.002208578282412,0,0,1,-1.0,6000,8120,0,1.0,0.0,1.0,0.0
12,310000.0,3,1.0,9.898575508175108,1.5,0,0,4,1927,0,98028,47.7558,-122.229,9453.309329793388,3833.0,33.1,1.917774225495218,9.211439767419485,2,0,0,1.0,19901,10010,0,0.0,0.0,0.0,0.0
17,485000.0,4,1.0,8.366602832783736,1.5,0,0,4,1916,0,98103,47.6648,-122.343,2209.4567039268613,11391.0,27.1,0.7619388005459727,9.32375833901174,0,0,0,1.0,4300,11200,0,0.0,0.0,0.0,0.0
18,189000.0,2,1.0,9.19532825185568,1.0,0,0,4,1921,0,98002,47.3089,-122.21,31024.04456443988,5015.0,29.5,7.189420172568547,9.036106025364846,2,0,0,1.0,9850,8400,0,1.0,0.0,1.0,0.0
19,230000.0,3,1.0,9.187583384853566,1.0,0,0,4,1969,0,98003,47.3343,-122.306,27237.41039915039,4392.0,32.4,2.11532318396142,9.076923258535832,2,0,0,1.0,9774,8750,0,0.0,0.0,0.0,0.0
27,667000.0,3,1.0,7.366445148327599,1.5,0,0,5,1909,0,98112,47.6221,-122.314,559.0502100517712,7621.0,25.4,1.4616636075439724,9.32375833901174,0,0,0,1.0,1581,11200,0,0.0,0.0,0.0,0.0
33,535000.0,3,1.0,8.006700845440367,1.5,0,0,4,1929,0,98117,47.6889,-122.375,3815.762200043457,9392.0,30.0,1.942659959235988,9.073489189226986,0,0,0,1.0,3000,8720,0,0.0,0.0,0.0,0.0
36,550000.0,4,1.0,10.458779721372386,1.0,0,0,1,1933,0,98052,47.6621,-122.132,12973.438975052974,3741.0,25.0,2.0669501373181824,9.024131268455037,2,0,0,1.0,34848,8300,0,0.0,0.0,0.0,0.0
38,240000.0,4,1.0,8.996651979432729,1.0,0,0,2,1969,0,98001,47.3341,-122.282,27348.91418738276,1895.0,31.6,3.5998004257826524,9.052633375946147,1,0,0,1.0,8075,8540,0,0.0,0.0,0.0,0.0
43,685000.0,3,1.0,7.732369222284388,2.0,0,0,3,1922,0,98119,47.6413,-122.364,3855.6425289211866,10846.0,25.5,1.2354140529104305,9.3048320350689,0,0,0,1.0,2280,10990,0,0.0,0.0,0.0,0.0
