Combination,N_Clusters,Scale_Type,Silhouette_Score,Cluster_Sizes
"('bedrooms', 'bathrooms')",2,Unscaled,0.26137317470415006,"{1: 11789, 0: 9824}"
"('bedrooms', 'bathrooms')",2,Scaled,0.0982176230440941,"{0: 20167, 1: 1446}"
"('bedrooms', 'bathrooms')",3,Unscaled,0.3410577811434306,"{0: 9824, 1: 8840, 2: 2949}"
"('bedrooms', 'bathrooms')",3,Scaled,0.09978289786230432,"{0: 20165, 1: 1446, 2: 2}"
"('bedrooms', 'bathrooms')",4,Unscaled,0.31098335526765586,"{1: 8840, 3: 7467, 2: 2949, 0: 2357}"
"('bedrooms', 'bathrooms')",4,Scaled,0.14317230401025108,"{0: 14037, 3: 6128, 1: 1446, 2: 2}"
"('bedrooms', 'bathrooms')",5,Unscaled,0.4552158256215069,"{2: 5597, 0: 5439, 3: 4447, 1: 3956, 4: 2174}"
"('bedrooms', 'bathrooms')",5,Scaled,0.1507902937470685,"{0: 12699, 3: 5419, 4: 2047, 1: 1446, 2: 2}"
"('bedrooms', 'sqft_lot')",2,Unscaled,0.9516485584582463,"{0: 21269, 1: 344}"
"('bedrooms', 'sqft_lot')",2,Scaled,0.7108432746642542,"{0: 21341, 1: 272}"
"('bedrooms', 'sqft_lot')",3,Unscaled,0.8685191198353504,"{2: 20400, 0: 922, 1: 291}"
"('bedrooms', 'sqft_lot')",3,Scaled,0.5048737933438667,"{0: 14459, 2: 6882, 1: 272}"
"('bedrooms', 'sqft_lot')",4,Unscaled,0.8586279120505459,"{2: 20046, 0: 1241, 1: 312, 3: 14}"
"('bedrooms', 'sqft_lot')",4,Scaled,0.5364264665289301,"{0: 14260, 2: 6882, 1: 272, 3: 199}"
"('bedrooms', 'sqft_lot')",5,Unscaled,0.831039812738895,"{2: 19729, 0: 1335, 4: 282, 1: 253, 3: 14}"
"('bedrooms', 'sqft_lot')",5,Scaled,0.7145102672084619,"{0: 11500, 2: 6882, 4: 2760, 1: 272, 3: 199}"
"('bedrooms', 'floors')",2,Unscaled,0.30734732543309673,"{0: 14450, 1: 7163}"
"('bedrooms', 'floors')",2,Scaled,0.9731879412544436,"{0: 21612, 1: 1}"
"('bedrooms', 'floors')",3,Unscaled,0.486626411645466,"{0: 9824, 1: 7163, 2: 4626}"
"('bedrooms', 'floors')",3,Scaled,0.2937025674150867,"{0: 14718, 1: 6882, 2: 13}"
"('bedrooms', 'floors')",4,Unscaled,0.5535523674444067,"{0: 9824, 2: 6895, 3: 3130, 1: 1764}"
"('bedrooms', 'floors')",4,Scaled,0.3578064841625477,"{3: 10164, 1: 6882, 0: 4554, 2: 13}"
"('bedrooms', 'floors')",5,Unscaled,0.6331843777849786,"{3: 7393, 4: 6561, 0: 4056, 2: 2632, 1: 971}"
"('bedrooms', 'floors')",5,Scaled,0.3581002105080859,"{3: 10162, 1: 6882, 0: 4550, 2: 13, 4: 6}"
"('bedrooms', 'waterfront')",2,Unscaled,0.6750223762671594,"{1: 11789, 0: 9824}"
"('bedrooms', 'waterfront')",2,Scaled,0.5146816454262788,"{0: 14731, 1: 6882}"
"('bedrooms', 'waterfront')",3,Unscaled,0.7664692122647988,"{0: 9824, 1: 6882, 2: 4907}"
"('bedrooms', 'waterfront')",3,Scaled,0.6402313663703145,"{0: 13130, 1: 6882, 2: 1601}"
"('bedrooms', 'waterfront')",4,Unscaled,0.8481608439438946,"{0: 9824, 2: 6882, 1: 3306, 3: 1601}"
"('bedrooms', 'waterfront')",4,Scaled,0.6749146851753045,"{0: 12931, 1: 6882, 2: 1601, 3: 199}"
"('bedrooms', 'waterfront')",5,Unscaled,0.8369634199897154,"{0: 9824, 1: 6882, 2: 2760, 3: 1800, 4: 347}"
"('bedrooms', 'waterfront')",5,Scaled,0.6888456102371341,"{0: 12893, 1: 6882, 2: 1601, 3: 199, 4: 38}"
"('bedrooms', 'view')",2,Unscaled,0.6051132138530905,"{1: 11789, 0: 9824}"
"('bedrooms', 'view')",2,Scaled,0.975404814916887,"{0: 21612, 1: 1}"
"('bedrooms', 'view')",3,Unscaled,0.6466984795599644,"{0: 9824, 1: 9029, 2: 2760}"
"('bedrooms', 'view')",3,Scaled,0.4145836553150314,"{0: 14725, 1: 6882, 2: 6}"
"('bedrooms', 'view')",4,Unscaled,0.7638851581484298,"{0: 9824, 1: 6888, 2: 2760, 3: 2141}"
"('bedrooms', 'view')",4,Scaled,0.4383173720073877,"{0: 14514, 1: 6761, 3: 332, 2: 6}"
"('bedrooms', 'view')",5,Unscaled,0.71401509170735,"{0: 9704, 1: 7058, 4: 2152, 3: 2133, 2: 566}"
"('bedrooms', 'view')",5,Scaled,0.5928178568752781,"{0: 11796, 1: 6761, 4: 2718, 3: 332, 2: 6}"
"('bedrooms', 'condition')",2,Unscaled,0.3894865606856006,"{0: 14731, 1: 6882}"
"('bedrooms', 'condition')",2,Scaled,0.8422655976709486,"{0: 21575, 1: 38}"
"('bedrooms', 'condition')",3,Unscaled,0.42286000855679007,"{0: 13445, 2: 5200, 1: 2968}"
"('bedrooms', 'condition')",3,Scaled,0.8436793570596507,"{0: 21562, 1: 38, 2: 13}"
"('bedrooms', 'condition')",4,Unscaled,0.4980193882709535,"{0: 13293, 1: 5200, 3: 2550, 2: 570}"
"('bedrooms', 'condition')",4,Scaled,0.3024529754642691,"{0: 14680, 3: 6882, 1: 38, 2: 13}"
"('bedrooms', 'condition')",5,Unscaled,0.6010766531855541,"{0: 9727, 1: 5210, 4: 3556, 3: 1685, 2: 1435}"
"('bedrooms', 'condition')",5,Scaled,0.41505564050582655,"{0: 11920, 3: 6882, 4: 2760, 1: 38, 2: 13}"
"('bedrooms', 'yr_built')",2,Unscaled,0.5949614635592769,"{0: 12575, 1: 9038}"
"('bedrooms', 'yr_built')",2,Scaled,0.3843958155787942,"{0: 18846, 1: 2767}"
"('bedrooms', 'yr_built')",3,Unscaled,0.5907081373342276,"{0: 9039, 2: 8861, 1: 3713}"
"('bedrooms', 'yr_built')",3,Scaled,0.4997298002517035,"{0: 9824, 2: 9029, 1: 2760}"
"('bedrooms', 'yr_built')",4,Unscaled,0.5840713443149201,"{1: 6822, 3: 6053, 0: 5791, 2: 2947}"
"('bedrooms', 'yr_built')",4,Scaled,0.6007956037482006,"{0: 9831, 2: 7421, 1: 2760, 3: 1601}"
"('bedrooms', 'yr_built')",5,Unscaled,0.5542819103335002,"{4: 5263, 1: 4754, 3: 4697, 0: 4016, 2: 2883}"
"('bedrooms', 'yr_built')",5,Scaled,0.6298424723913559,"{0: 9837, 2: 7216, 1: 2760, 3: 1601, 4: 199}"
"('bedrooms', 'yr_renovated')",2,Unscaled,0.9991845940567053,"{0: 20699, 1: 914}"
